forming speed,bhf start,bhf mid,bhf end,Min Thinning ,Average wrinkling
274.283743,190.7267723,256.4971735,435.250097,-0.348,61.62
116.3757552,198.8697356,350.8296813,400.4124848,-0.27,62.97
203.2683285,214.4708947,302.474103,473.1354103,-0.328,61.41
247.9673387,181.5173547,329.3951763,494.7171408,-0.459,60.635
136.6172518,160.3706726,280.1899088,454.8980669,-0.271,62.49
217.4425032,144.1744556,267.5195093,408.4110785,-0.301,62.725
288.5661983,111.9582228,312.408145,381.5964919,-0.375,60.31
147.5874837,135.3185625,240.7992973,461.6844367,-0.272,63.315
179.3861196,124.2975853,361.2767817,426.3667507,-0.311,60.795
